participantID,age,gender,language,amE,education,comments,content,qud,utterance,predicate,valence,responseCC,responseMC
270,53,male,English,AmE,graduated college,""":""Thank you!""}",Charley speaks Spanish,ai,know-pos,know,pos,0.81,1
295,41,preferNoToSay,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.84,0.89
254,53,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0,0.24
262,27,male,English,AmE,graduated college,""":""Everything worked well.""}",Charley speaks Spanish,nai,know-pos,know,pos,1,1
237,39,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.14,0.06
311,38,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,1,0
298,26,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.72,0.78
112,61,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.96,1
297,23,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,0.88,0.23
48,47,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.21,0.05
127,50,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.22,0.18
213,37,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.54,0.44
231,39,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.81,0.84
25,35,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.28,0.04
257,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.19,0.18
222,24,male,English,AmE,graduated college,""":""none thank you""}",Jackson ran ten miles,ai,know-pos,know,pos,1,1
141,52,female,English,AmE,graduated college," other than what I was given to go on, it seems likely that Cole thinks Charley speaks Spanish, and still likely that he does.""}",Charley speaks Spanish,nai,think-pos,think,pos,0.72,1
82,54,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.5,0.5
250,22,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.6,0.83
246,44,female,English,AmE,some college,""":""I enjoyed this""}",Jackson ran ten miles,ai,think-pos,think,pos,0.81,0.86
168,32,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.68,0.84
107,41,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.47,0.43
86,28,male,English,AmE,some college,""":""None""}",Charley speaks Spanish,ai,think-pos,think,pos,0.81,1
73,40,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.79,0.94
217,25,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.84,1
66,34,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.5,0.5
312,21,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.28,0.19
62,62,male,English,AmE,some college,""":""Weird but I guess you know what you're going for.  I sure don't.""}",Charley speaks Spanish,nai,know-pos,know,pos,0.75,0.75
121,60,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.46,0.62
259,30,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.82,1
41,51,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.58,0.54
74,30,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,1,0.05
155,30,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.78,1
15,56,female,English,AmE,hold a higher degree,""":""weird!""}",Jackson ran ten miles,nai,think-pos,think,pos,0.5,0.5
190,61,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.87,0.5
2,39,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.5,0.3
167,43,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.52,0.4
129,41,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.86,0.96
234,62,male,English,AmE,graduated college,""":""thank you ""}",Jackson ran ten miles,nai,think-pos,think,pos,0.5,0.9
138,49,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,1,0
51,45,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.87,1
137,57,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.38,0.22
142,50,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.87,0.86
130,32,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.5,0.5
184,65,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.41,0.2
149,45,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.79,0.79
230,42,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.5,1
313,55,preferNoToSay,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.12,0
75,60,female,English,AmE,hold a higher degree,""":""This is an interesting question.""}",Jackson ran ten miles,nai,think-pos,think,pos,0.79,0.85
38,31,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.84,0.82
263,68,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,1,0.01
241,48,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.21,0.06
273,51,female,English,AmE,graduated high school,""":""no issue with study""}",Charley speaks Spanish,ai,know-neg,know,neg,1,0
304,26,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.72,0.94
292,47,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.4,0.65
227,72,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.08,0
37,24,male,English,AmE,graduated college,""":""none""}",Charley speaks Spanish,ai,think-pos,think,pos,0.77,0.86
92,29,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,1,1
164,37,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.25,0
50,59,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,1,0
272,56,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.97,0.04
22,37,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.31,0
63,25,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.37,0.39
197,66,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.25,0.02
97,26,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.74,0.27
282,41,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.81,0.79
135,37,male,English,AmE,hold a higher degree,""":""There wasn't much information to go on to answer the question, but since Charley doesn't sound like a Hispanic name I assumed he didn't speak Spanish""}",Charley speaks Spanish,ai,know-pos,know,pos,0.34,0.39
31,31,male,English,AmE,graduated college,""":""None""}",Charley speaks Spanish,nai,think-pos,think,pos,0.96,1
310,27,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.42,0.7
229,37,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.29,0.4
183,32,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,0.52,0.52
191,58,female,English,AmE,some college,""":""The fact that someone said they knew what Cole ran would not influence me.""}",Jackson ran ten miles,nai,know-neg,know,neg,0.5,0.49
279,58,female,English,AmE,graduated college,""":""interesting and unique study""}",Charley speaks Spanish,nai,think-neg,think,neg,0,0
4,63,male,English,AmE,graduated college,""":""In America it is becoming necessary to be able to speak spainish.""}",Charley speaks Spanish,ai,think-neg,think,neg,0.44,0.38
171,36,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,0.6,0.61
176,45,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.5,1
253,43,female,English,AmE,graduated college,""":""I'm interested in learning the answer!""}",Jackson ran ten miles,ai,know-pos,know,pos,0.75,0.65
58,32,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.21,0
208,38,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.48,0.43
30,30,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.6,0.86
157,43,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.75,0.28
285,36,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.66,0.41
95,33,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-neg,know,neg,0.93,0.04
160,35,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.78,0.74
150,61,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.5,0.49
323,30,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-pos,know,pos,0.65,0.66
98,49,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,know-pos,know,pos,0.41,0.46
19,22,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.51,0.5
158,41,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.78,1
211,34,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.38,0.05
87,51,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.65,0.72
173,32,male,English,AmE,some college,""":""none""}",Charley speaks Spanish,ai,know-pos,know,pos,1,1
80,34,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.27,0.16
305,24,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.76,0.95
162,70,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.68,0.98
247,43,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.85,0.77
294,50,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.6,0.59
72,54,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.43,0.62
56,58,preferNoToSay,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,1,1
212,28,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,1,1
113,32,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.75,1
309,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.6,0.93
102,37,male,English,AmE,graduated college,""":""I'm assuming she spoke to Cole and isn't just making it up on her own.""}",Charley speaks Spanish,ai,think-pos,think,pos,0.71,1
205,35,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.18,0.19
32,52,female,English,AmE,hold a higher degree,""":""best of luck with your research!""}",Charley speaks Spanish,ai,think-neg,think,neg,0.4,0
43,36,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0,0
143,21,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,1,1
122,36,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,0.56,0.25
220,39,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.6,0.91
84,20,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.4,0.33
322,26,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.85,0.86
244,50,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.73,0.73
103,28,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.2,0.03
226,56,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.68,0.99
125,57,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.5,0.68
140,31,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.93,0.78
10,63,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.34,0.22
36,46,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,1,0
286,28,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,know-neg,know,neg,0.84,0.03
198,44,male,English,AmE,graduated high school,""":""I don't really understand the purpose of this study...""}",Jackson ran ten miles,ai,know-pos,know,pos,0.89,1
146,38,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,know-pos,know,pos,0.74,1
34,48,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.21,0.22
200,35,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.25,1
269,41,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.15,0
76,51,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,know-neg,know,neg,0.78,0.13
88,38,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.46,0.17
320,56,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,0.2,0.77
115,21,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,know-neg,know,neg,0.28,0
225,57,female,English,AmE,some college,""":""It's bothersome that the paragraph includes Charley, not Jackson, in her client list. It's silly but still...""}",Jackson ran ten miles,ai,think-neg,think,neg,0.24,0.03
179,36,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.63,0.96
89,38,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.13,0
118,39,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.29,0
204,28,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.75,1
17,28,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.38,0.34
116,40,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,know-pos,know,pos,0.5,0.51
148,34,male,English,AmE,some high school,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.48,0
232,41,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.97,0.95
94,60,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.25,0.09
16,69,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.51,0.52
239,30,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.62,0.66
196,37,female,English,AmE,hold a higher degree,""":""You changed the name of the fitness club members.  Jackson wasn't in the original list of members given.""}",Jackson ran ten miles,ai,think-pos,think,pos,0.67,0.84
7,41,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.38,0.63
59,52,preferNoToSay,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.74,0.75
219,68,female,English,AmE,graduated college,""":""None""}",Jackson ran ten miles,ai,think-pos,think,pos,0.83,1
151,22,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0,0
307,26,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.5,0.92
101,37,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.63,0.77
134,24,non-binary,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.35,0.55
147,30,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.75,0.81
223,38,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.5,0.49
188,42,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.11,0.26
9,40,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.77,0.73
236,38,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,1,0
303,37,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.42,0.02
315,55,female,English,AmE,graduated high school,""":""This was interesting; thank you. ""}",Charley speaks Spanish,nai,think-neg,think,neg,1,0
85,53,female,English,AmE,some college,""":""none""}",Jackson ran ten miles,nai,think-pos,think,pos,0.11,0.1
91,43,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.61,0.75
249,36,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.29,0.18
69,44,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.62,1
64,45,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,know-pos,know,pos,0.72,1
302,30,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,think-neg,think,neg,0.28,0.05
13,33,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.4,0.07
29,22,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.63,1
131,53,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-pos,think,pos,0.76,0.82
299,29,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.31,0.26
14,39,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.79,0.99
265,50,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,know-neg,know,neg,0.5,0.49
293,37,female,English,AmE,graduated college,""":""everything was clear and easy to understand.""}",Charley speaks Spanish,ai,think-neg,think,neg,0.28,0.07
240,29,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,know-neg,know,neg,0.49,0
256,47,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.89,0.83
267,45,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,know-pos,know,pos,0.83,1
156,37,female,English,AmE,graduated high school,""":""n/a""}",Jackson ran ten miles,nai,know-pos,know,pos,0.73,1
233,41,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,think-neg,think,neg,0.27,0.25
166,31,male,English,AmE,graduated college,""":""no issues. best of luck with your research""}",Jackson ran ten miles,ai,think-neg,think,neg,0.14,0.01
33,32,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.74,1
245,45,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.82,0.93
252,30,male,English,AmE,graduated college,"""}",Charley speaks Spanish,nai,know-pos,know,pos,0.78,0.87
28,64,male,English,AmE,hold a higher degree,""":""Cole knows these people better and he doesn’t know if Charlie speaks Spanish, something he might have heard, considering his knowledge.""}",Charley speaks Spanish,ai,know-neg,know,neg,0.33,0.38
185,29,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.66,0.97
224,27,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.46,0.41
21,36,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.87,1
54,31,non-binary,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.29,0
23,33,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-neg,know,neg,0.39,0.46
24,24,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,think-pos,think,pos,0.08,0.2
235,66,female,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,ai,think-pos,think,pos,0.75,0.97
26,58,male,English,AmE,graduated college,""":""none""}",Charley speaks Spanish,nai,know-pos,know,pos,1,1
133,36,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,know-neg,know,neg,1,0.03
67,43,male,English,AmE,graduated college,""":""everything worked well and was clear, thank you""}",Charley speaks Spanish,nai,know-neg,know,neg,1,0.29
318,32,female,English,AmE,graduated college,".""}",Jackson ran ten miles,ai,think-pos,think,pos,1,1
187,29,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,know-pos,know,pos,0.87,1
39,62,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,1,1
